disease,symptoms,symptoms_text,expanded_symptoms,expanded_text,symptoms_count,precautions,precautions_text,precautions_count,search_text,display_text,doc_id
dimorphic hemmorhoidspiles,"['irritation in anus', 'pain during bowel movements', 'constipation', 'pain in anal region', 'bloody stool']",irritation in anus pain during bowel movements constipation pain in anal region bloody stool,"['irritation in anus', 'pain during bowel movements', 'constipation', 'pain in anal region', 'bloody stool']",irritation in anus pain during bowel movements constipation pain in anal region bloody stool,5,"['avoid fatty spicy food', 'consume witch hazel', 'warm bath with epsom salt', 'consume alovera juice']",avoid fatty spicy food consume witch hazel warm bath with epsom salt consume alovera juice,4,dimorphic hemmorhoidspiles irritation in anus pain during bowel movements constipation pain in anal region bloody stool avoid fatty spicy food consume witch hazel warm bath with epsom salt consume alovera juice,"Disease: Dimorphic Hemmorhoidspiles

Symptoms:
  1. irritation in anus
  2. pain during bowel movements
  3. constipation
  4. pain in anal region
  5. bloody stool

Precautions:
  1. avoid fatty spicy food
  2. consume witch hazel
  3. warm bath with epsom salt
  4. consume alovera juice
",28
heart attack,"['chest pain', 'sweating', 'breathlessness', 'vomiting']",chest pain sweating breathlessness vomiting,"['vomiting', 'sweating', 'chest pain', 'breathlessness']",vomiting sweating chest pain breathlessness,4,"['call ambulance', 'chew or swallow asprin', 'keep calm']",call ambulance chew or swallow asprin keep calm,3,heart attack vomiting sweating chest pain breathlessness call ambulance chew or swallow asprin keep calm,"Disease: Heart Attack

Symptoms:
  1. chest pain
  2. sweating
  3. breathlessness
  4. vomiting

Precautions:
  1. call ambulance
  2. chew or swallow asprin
  3. keep calm
",29
varicose veins,"['prominent veins on calf', 'fatigue', 'bruising', 'obesity', 'swollen blood vessels', 'swollen legs', 'cramps']",prominent veins on calf fatigue bruising obesity swollen blood vessels swollen legs cramps,"['prominent veins on calf', 'fatigue', 'bruising', 'obesity', 'swollen blood vessels', 'swollen legs', 'cramps']",prominent veins on calf fatigue bruising obesity swollen blood vessels swollen legs cramps,7,"['lie down flat and raise the leg high', 'use oinments', 'use vein compression', 'dont stand still for long']",lie down flat and raise the leg high use oinments use vein compression dont stand still for long,4,varicose veins prominent veins on calf fatigue bruising obesity swollen blood vessels swollen legs cramps lie down flat and raise the leg high use oinments use vein compression dont stand still for long,"Disease: Varicose Veins

Symptoms:
  1. prominent veins on calf
  2. fatigue
  3. bruising
  4. obesity
  5. swollen blood vessels
  6. swollen legs
  7. cramps

Precautions:
  1. lie down flat and raise the leg high
  2. use oinments
  3. use vein compression
  4. dont stand still for long
",30
hypothyroidism,"['abnormal menstruation', 'weight gain', 'swollen extremeties', 'fatigue', 'puffy face and eyes', 'mood swings', 'lethargy', 'cold hands and feets', 'dizziness', 'enlarged thyroid', 'depression', 'irritability', 'brittle nails']",abnormal menstruation weight gain swollen extremeties fatigue puffy face and eyes mood swings lethargy cold hands and feets dizziness enlarged thyroid depression irritability brittle nails,"['abnormal menstruation', 'swollen extremeties', 'weight gain', 'fatigue', 'puffy face and eyes', 'mood swings', 'lethargy', 'cold hands and feets', 'dizziness', 'enlarged thyroid', 'depression', 'irritability', 'brittle nails']",abnormal menstruation swollen extremeties weight gain fatigue puffy face and eyes mood swings lethargy cold hands and feets dizziness enlarged thyroid depression irritability brittle nails,13,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']",reduce stress exercise eat healthy get proper sleep,4,hypothyroidism abnormal menstruation swollen extremeties weight gain fatigue puffy face and eyes mood swings lethargy cold hands and feets dizziness enlarged thyroid depression irritability brittle nails reduce stress exercise eat healthy get proper sleep,"Disease: Hypothyroidism

Symptoms:
  1. abnormal menstruation
  2. weight gain
  3. swollen extremeties
  4. fatigue
  5. puffy face and eyes
  6. mood swings
  7. lethargy
  8. cold hands and feets
  9. dizziness
  10. enlarged thyroid
  11. depression
  12. irritability
  13. brittle nails

Precautions:
  1. reduce stress
  2. exercise
  3. eat healthy
  4. get proper sleep
",31
hyperthyroidism,"['diarrhoea', 'abnormal menstruation', 'fatigue', 'restlessness', 'mood swings', 'sweating', 'weight loss', 'fast heart rate', 'excessive hunger', 'muscle weakness', 'irritability']",diarrhoea abnormal menstruation fatigue restlessness mood swings sweating weight loss fast heart rate excessive hunger muscle weakness irritability,"['diarrhoea', 'abnormal menstruation', 'fatigue', 'restlessness', 'mood swings', 'sweating', 'weight loss', 'fast heart rate', 'excessive hunger', 'muscle weakness', 'irritability']",diarrhoea abnormal menstruation fatigue restlessness mood swings sweating weight loss fast heart rate excessive hunger muscle weakness irritability,11,"['eat healthy', 'massage', 'use lemon balm', 'take radioactive iodine treatment']",eat healthy massage use lemon balm take radioactive iodine treatment,4,hyperthyroidism diarrhoea abnormal menstruation fatigue restlessness mood swings sweating weight loss fast heart rate excessive hunger muscle weakness irritability eat healthy massage use lemon balm take radioactive iodine treatment,"Disease: Hyperthyroidism

Symptoms:
  1. diarrhoea
  2. abnormal menstruation
  3. fatigue
  4. restlessness
  5. mood swings
  6. sweating
  7. weight loss
  8. fast heart rate
  9. excessive hunger
  10. muscle weakness
  11. irritability

Precautions:
  1. eat healthy
  2. massage
  3. use lemon balm
  4. take radioactive iodine treatment
",32
hypoglycemia,"['headache', 'fatigue', 'nausea', 'slurred speech', 'sweating', 'blurred and distorted vision', 'vomiting', 'excessive hunger', 'irritability', 'drying and tingling lips', 'palpitations', 'anxiety']",headache fatigue nausea slurred speech sweating blurred and distorted vision vomiting excessive hunger irritability drying and tingling lips palpitations anxiety,"['headache', 'fatigue', 'nausea', 'sweating', 'blurred and distorted vision', 'vomiting', 'excessive hunger', 'irritability', 'drying and tingling lips', 'anxiety', 'palpitations', 'slurred speech']",headache fatigue nausea sweating blurred and distorted vision vomiting excessive hunger irritability drying and tingling lips anxiety palpitations slurred speech,12,"['lie down on side', 'check in pulse', 'drink sugary drinks', 'consult doctor']",lie down on side check in pulse drink sugary drinks consult doctor,4,hypoglycemia headache fatigue nausea sweating blurred and distorted vision vomiting excessive hunger irritability drying and tingling lips anxiety palpitations slurred speech lie down on side check in pulse drink sugary drinks consult doctor,"Disease: Hypoglycemia

Symptoms:
  1. headache
  2. fatigue
  3. nausea
  4. slurred speech
  5. sweating
  6. blurred and distorted vision
  7. vomiting
  8. excessive hunger
  9. irritability
  10. drying and tingling lips
  11. palpitations
  12. anxiety

Precautions:
  1. lie down on side
  2. check in pulse
  3. drink sugary drinks
  4. consult doctor
",33
osteoarthristis,"['knee pain', 'neck pain', 'painful walking', 'joint pain', 'swelling joints', 'hip joint pain']",knee pain neck pain painful walking joint pain swelling joints hip joint pain,"['knee pain', 'neck pain', 'painful walking', 'joint pain', 'swelling joints', 'hip joint pain']",knee pain neck pain painful walking joint pain swelling joints hip joint pain,6,"['acetaminophen', 'consult nearest hospital', 'follow up', 'salt baths']",acetaminophen consult nearest hospital follow up salt baths,4,osteoarthristis knee pain neck pain painful walking joint pain swelling joints hip joint pain acetaminophen consult nearest hospital follow up salt baths,"Disease: Osteoarthristis

Symptoms:
  1. knee pain
  2. neck pain
  3. painful walking
  4. joint pain
  5. swelling joints
  6. hip joint pain

Precautions:
  1. acetaminophen
  2. consult nearest hospital
  3. follow up
  4. salt baths
",34
arthritis,"['stiff neck', 'movement stiffness', 'muscle weakness', 'painful walking', 'swelling joints']",stiff neck movement stiffness muscle weakness painful walking swelling joints,"['stiff neck', 'movement stiffness', 'muscle weakness', 'painful walking', 'swelling joints']",stiff neck movement stiffness muscle weakness painful walking swelling joints,5,"['exercise', 'use hot and cold therapy', 'try acupuncture', 'massage']",exercise use hot and cold therapy try acupuncture massage,4,arthritis stiff neck movement stiffness muscle weakness painful walking swelling joints exercise use hot and cold therapy try acupuncture massage,"Disease: Arthritis

Symptoms:
  1. stiff neck
  2. movement stiffness
  3. muscle weakness
  4. painful walking
  5. swelling joints

Precautions:
  1. exercise
  2. use hot and cold therapy
  3. try acupuncture
  4. massage
",35
vertigo paroymsal positional vertigo,"['headache', 'spinning movements', 'nausea', 'vomiting', 'unsteadiness', 'loss of balance']",headache spinning movements nausea vomiting unsteadiness loss of balance,"['headache', 'spinning movements', 'nausea', 'vomiting', 'unsteadiness', 'loss of balance']",headache spinning movements nausea vomiting unsteadiness loss of balance,6,"['lie down', 'avoid sudden change in body', 'avoid abrupt head movment', 'relax']",lie down avoid sudden change in body avoid abrupt head movment relax,4,vertigo paroymsal positional vertigo headache spinning movements nausea vomiting unsteadiness loss of balance lie down avoid sudden change in body avoid abrupt head movment relax,"Disease: Vertigo Paroymsal Positional Vertigo

Symptoms:
  1. headache
  2. spinning movements
  3. nausea
  4. vomiting
  5. unsteadiness
  6. loss of balance

Precautions:
  1. lie down
  2. avoid sudden change in body
  3. avoid abrupt head movment
  4. relax
",36
acne,"['skin rash', 'blackheads', 'scurring', 'pus filled pimples']",skin rash blackheads scurring pus filled pimples,"['skin rash', 'blackheads', 'scurring', 'pus filled pimples']",skin rash blackheads scurring pus filled pimples,4,"['bath twice', 'avoid fatty spicy food', 'drink plenty of water', 'avoid too many products']",bath twice avoid fatty spicy food drink plenty of water avoid too many products,4,acne skin rash blackheads scurring pus filled pimples bath twice avoid fatty spicy food drink plenty of water avoid too many products,"Disease: Acne

Symptoms:
  1. skin rash
  2. blackheads
  3. scurring
  4. pus filled pimples

Precautions:
  1. bath twice
  2. avoid fatty spicy food
  3. drink plenty of water
  4. avoid too many products
",37
urinary tract infection,"['foul smell of urine', 'continuous feel of urine', 'bladder discomfort', 'burning micturition']",foul smell of urine continuous feel of urine bladder discomfort burning micturition,"['foul smell of urine', 'continuous feel of urine', 'bladder discomfort', 'burning micturition']",foul smell of urine continuous feel of urine bladder discomfort burning micturition,4,"['drink plenty of water', 'increase vitamin c intake', 'drink cranberry juice', 'take probiotics']",drink plenty of water increase vitamin c intake drink cranberry juice take probiotics,4,urinary tract infection foul smell of urine continuous feel of urine bladder discomfort burning micturition drink plenty of water increase vitamin c intake drink cranberry juice take probiotics,"Disease: Urinary Tract Infection

Symptoms:
  1. foul smell of urine
  2. continuous feel of urine
  3. bladder discomfort
  4. burning micturition

Precautions:
  1. drink plenty of water
  2. increase vitamin c intake
  3. drink cranberry juice
  4. take probiotics
",38
psoriasis,"['skin rash', 'inflammatory nails', 'silver like dusting', 'joint pain', 'small dents in nails', 'skin peeling']",skin rash inflammatory nails silver like dusting joint pain small dents in nails skin peeling,"['skin rash', 'inflammatory nails', 'silver like dusting', 'joint pain', 'small dents in nails', 'skin peeling']",skin rash inflammatory nails silver like dusting joint pain small dents in nails skin peeling,6,"['wash hands with warm soapy water', 'stop bleeding using pressure', 'consult doctor', 'salt baths']",wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths,4,psoriasis skin rash inflammatory nails silver like dusting joint pain small dents in nails skin peeling wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths,"Disease: Psoriasis

Symptoms:
  1. skin rash
  2. inflammatory nails
  3. silver like dusting
  4. joint pain
  5. small dents in nails
  6. skin peeling

Precautions:
  1. wash hands with warm soapy water
  2. stop bleeding using pressure
  3. consult doctor
  4. salt baths
",39
impetigo,"['skin rash', 'red sore around nose', 'blister', 'yellow crust ooze', 'high fever']",skin rash red sore around nose blister yellow crust ooze high fever,"['skin rash', 'red sore around nose', 'blister', 'yellow crust ooze', 'high fever']",skin rash red sore around nose blister yellow crust ooze high fever,5,"['soak affected area in warm water', 'use antibiotics', 'remove scabs with wet compressed cloth', 'consult doctor']",soak affected area in warm water use antibiotics remove scabs with wet compressed cloth consult doctor,4,impetigo skin rash red sore around nose blister yellow crust ooze high fever soak affected area in warm water use antibiotics remove scabs with wet compressed cloth consult doctor,"Disease: Impetigo

Symptoms:
  1. skin rash
  2. red sore around nose
  3. blister
  4. yellow crust ooze
  5. high fever

Precautions:
  1. soak affected area in warm water
  2. use antibiotics
  3. remove scabs with wet compressed cloth
  4. consult doctor
",40
